"Academic Period Code","Course College Code","DEPT","level","Subject Code","total_hours","acad_year"
"201780","AS","AMST","lower","AMST",984,"2017-2018"
"201780","AS","AMST","upper","AMST",702,"2017-2018"
"201780","AS","AMST","grad","AMST",153,"2017-2018"
"201780","AS","AMST","total","AMST",1839,"2017-2018"
"201810","AS","AMST","lower","AMST",756,"2017-2018"
"201810","AS","AMST","upper","AMST",627,"2017-2018"
"201810","AS","AMST","grad","AMST",117,"2017-2018"
"201810","AS","AMST","total","AMST",1500,"2017-2018"
"201860","AS","AMST","lower","AMST",84,"2017-2018"
"201860","AS","AMST","upper","AMST",15,"2017-2018"
"201860","AS","AMST","total","AMST",99,"2017-2018"
"201880","AS","AMST","lower","AMST",987,"2018-2019"
"201880","AS","AMST","upper","AMST",450,"2018-2019"
"201880","AS","AMST","grad","AMST",151,"2018-2019"
"201880","AS","AMST","total","AMST",1588,"2018-2019"
"201910","AS","AMST","lower","AMST",762,"2018-2019"
"201910","AS","AMST","upper","AMST",631,"2018-2019"
"201910","AS","AMST","grad","AMST",109,"2018-2019"
"201910","AS","AMST","total","AMST",1502,"2018-2019"
"201960","AS","AMST","lower","AMST",45,"2018-2019"
"201960","AS","AMST","grad","AMST",6,"2018-2019"
"201960","AS","AMST","total","AMST",51,"2018-2019"
"201980","AS","AMST","lower","AMST",711,"2019-2020"
"201980","AS","AMST","upper","AMST",360,"2019-2020"
"201980","AS","AMST","grad","AMST",129,"2019-2020"
"201980","AS","AMST","total","AMST",1200,"2019-2020"
"202010","AS","AMST","lower","AMST",885,"2019-2020"
"202010","AS","AMST","upper","AMST",339,"2019-2020"
"202010","AS","AMST","grad","AMST",102,"2019-2020"
"202010","AS","AMST","total","AMST",1326,"2019-2020"
"202060","AS","AMST","lower","AMST",18,"2019-2020"
"202060","AS","AMST","total","AMST",18,"2019-2020"
"202080","AS","AMST","lower","AMST",489,"2020-2021"
"202080","AS","AMST","upper","AMST",359,"2020-2021"
"202080","AS","AMST","grad","AMST",121,"2020-2021"
"202080","AS","AMST","total","AMST",969,"2020-2021"
"202110","AS","AMST","lower","AMST",513,"2020-2021"
"202110","AS","AMST","upper","AMST",216,"2020-2021"
"202110","AS","AMST","grad","AMST",107,"2020-2021"
"202110","AS","AMST","total","AMST",836,"2020-2021"
"202160","AS","AMST","lower","AMST",42,"2020-2021"
"202160","AS","AMST","upper","AMST",6,"2020-2021"
"202160","AS","AMST","total","AMST",48,"2020-2021"
"202180","AS","AMST","lower","AMST",654,"2021-2022"
"202180","AS","AMST","upper","AMST",201,"2021-2022"
"202180","AS","AMST","grad","AMST",117,"2021-2022"
"202180","AS","AMST","total","AMST",972,"2021-2022"
"202210","AS","AMST","lower","AMST",420,"2021-2022"
"202210","AS","AMST","upper","AMST",228,"2021-2022"
"202210","AS","AMST","grad","AMST",103,"2021-2022"
"202210","AS","AMST","total","AMST",751,"2021-2022"
"202260","AS","AMST","lower","AMST",57,"2021-2022"
"202260","AS","AMST","upper","AMST",18,"2021-2022"
"202260","AS","AMST","total","AMST",75,"2021-2022"
"202280","AS","AMST","lower","AMST",993,"2022-2023"
"202280","AS","AMST","upper","AMST",174,"2022-2023"
"202280","AS","AMST","grad","AMST",72,"2022-2023"
"202280","AS","AMST","total","AMST",1239,"2022-2023"
"202310","AS","AMST","lower","AMST",822,"2022-2023"
"202310","AS","AMST","upper","AMST",172,"2022-2023"
"202310","AS","AMST","grad","AMST",117,"2022-2023"
"202310","AS","AMST","total","AMST",1111,"2022-2023"
"202360","AS","AMST","lower","AMST",84,"2022-2023"
"202360","AS","AMST","upper","AMST",3,"2022-2023"
"202360","AS","AMST","grad","AMST",3,"2022-2023"
"202360","AS","AMST","total","AMST",90,"2022-2023"
"202380","AS","AMST","lower","AMST",747,"2023-2024"
"202380","AS","AMST","upper","AMST",210,"2023-2024"
"202380","AS","AMST","grad","AMST",78,"2023-2024"
"202380","AS","AMST","total","AMST",1035,"2023-2024"
"202410","AS","AMST","lower","AMST",696,"2023-2024"
"202410","AS","AMST","upper","AMST",273,"2023-2024"
"202410","AS","AMST","grad","AMST",93,"2023-2024"
"202410","AS","AMST","total","AMST",1062,"2023-2024"
"202460","AS","AMST","upper","AMST",12,"2023-2024"
"202460","AS","AMST","total","AMST",12,"2023-2024"
